Feature_ID	Taxonomy
AB262421.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__nitidulus
AB273158.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Hoplobatrachus;s__crassus
AB273161.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Hoplobatrachus;s__rugulosus
AB273169.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Euphlyctis;s__cyanophlyctis
AB273173.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Phrynoderma;s__hexadactylum
AB273174.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Phrynoderma;s__hexadactylum
AB273175.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Phrynoderma;s__hexadactylum
AB273176.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Phrynoderma;s__hexadactylum
AB277276.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__limnocharis
AB277283.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__limnocharis
AB277287.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__iskandari
AB277289.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Fejervarya;s__orissaensis
AB277290.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Sphaerotheca;s__dobsonii
AB280688.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Stylephoriformes;f__Stylephoridae;g__Stylephorus;s__chordatus
AB282830.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Antennariidae;g__Abantennarius;s__coccineus
AB282831.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Tetrabrachiidae;g__Tetrabrachium;s__ocellatum
AB282844.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Oneirodidae;g__Puck;s__pinnata
AB282845.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Oneirodidae;g__Chaenophryne;s__melanorhabdus
AB282846.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Oneirodidae;g__Bertella;s__idiomorpha
AB282848.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Thaumatichthyidae;g__Lasiognathus;s__sp. NMMBP 9030
AB282849.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Centrophrynidae;g__Centrophryne;s__spinulosa
AB290424.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Hoplobatrachus;s__tigerinus
AB290425.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Hoplobatrachus;s__crassus
AB290432.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Hoplobatrachus;s__occipitalis
AB290434.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Euphlyctis;s__cyanophlyctis
AB325874.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Aglyptodactylus;s__madagascariensis
AB325876.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Blommersia;s__blommersae
AB325877.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Boehmantis;s__microtympanum
AB325878.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Gephyromantis;s__klemmeri
AB325880.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Gephyromantis;s__pseudoasper
AB325881.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Guibemantis;s__liber
AB325882.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Guibemantis;s__tornieri
AB325884.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Mantidactylus;s__guttulatus
AB325885.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Spinomantis;s__microtis
AB325886.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Tsingymantis;s__antitra
AB325887.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Mantellidae;g__Wakea;s__madinika
AB331708.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Sabahphrynus;s__maculatus
AB331710.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Ansonia;s__hanitschi
AB331715.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Ingerophrynus;s__divergens
AB331716.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Leptophryne;s__borbonica
AB331717.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Rentapia;s__hosii
AB331718.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Sabahphrynus;s__maculatus
AB331719.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Rentapia;s__everetti
AB331720.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Bufonidae;g__Pelophryne;s__brevipes
